Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,22,Male,Coat,Outerwear,58,XL,Indigo,Winter,2.7,No,Cash,Express,No,No,30,Credit Card,Weekly
2,33,Male,Sweater,Clothing,57,M,Turquoise,Spring,3.9,No,Credit Card,Express,No,No,48,Debit Card,Fortnightly
3,57,Male,Shorts,Clothing,96,L,Turquoise,Winter,2.6,No,Bank Transfer,Store Pickup,No,No,31,Venmo,Bi-Weekly
4,60,Male,Sneakers,Footwear,97,S,Gray,Summer,3.5,No,PayPal,Free Shipping,No,No,33,Venmo,Fortnightly
5,30,Male,Sweater,Clothing,42,L,Peach,Winter,4.4,No,Debit Card,Next Day Air,No,No,39,Credit Card,Weekly
6,41,Male,T-shirt,Clothing,62,L,Gold,Spring,4.9,No,Venmo,Store Pickup,No,No,46,Debit Card,Weekly
7,58,Male,Handbag,Accessories,67,M,Green,Fall,3.9,No,Credit Card,Standard,No,No,24,Venmo,Annually
8,34,Male,Sneakers,Footwear,46,L,Gold,Summer,3.5,No,PayPal,Standard,No,No,37,Venmo,Fortnightly
9,67,Male,Jacket,Outerwear,71,M,Lavender,Spring,4.3,No,Credit Card,Next Day Air,No,No,7,Debit Card,Monthly
10,58,Male,Backpack,Accessories,99,S,Blue,Fall,3.4,No,Credit Card,Free Shipping,No,No,6,Debit Card,Fortnightly
11,41,Male,Jeans,Clothing,28,M,Magenta,Fall,2.7,No,Credit Card,Standard,No,No,16,Cash,Bi-Weekly
12,42,Male,Belt,Accessories,77,L,Blue,Summer,3.6,No,Bank Transfer,Standard,No,No,33,Bank Transfer,Annually
13,50,Male,Boots,Footwear,63,S,Blue,Summer,4.9,No,Venmo,Express,No,No,18,PayPal,Bi-Weekly
14,40,Male,Shorts,Clothing,62,M,Olive,Spring,3.5,No,Credit Card,Free Shipping,No,No,24,PayPal,Weekly
15,32,Male,Jeans,Clothing,92,M,White,Summer,3.8,No,Debit Card,Free Shipping,No,No,24,Cash,Quarterly
16,51,Male,Shoes,Footwear,72,L,White,Winter,4.5,No,Venmo,2-Day Shipping,No,No,48,Credit Card,Every 3 Months
17,26,Male,Hat,Accessories,79,M,Purple,Summer,4,No,Venmo,Express,No,No,4,Cash,Weekly
18,32,Male,T-shirt,Clothing,27,M,White,Summer,4.7,No,Credit Card,Free Shipping,No,No,20,Cash,Weekly
19,58,Male,Sunglasses,Accessories,39,M,White,Fall,3.8,No,Credit Card,Express,No,No,47,Debit Card,Every 3 Months
20,51,Male,Socks,Clothing,86,S,Peach,Spring,4.5,No,Cash,Next Day Air,No,No,50,Cash,Quarterly
21,19,Male,Shirt,Clothing,94,XL,Gold,Fall,5,No,PayPal,Express,No,No,31,PayPal,Monthly
22,57,Male,Shorts,Clothing,53,M,Teal,Spring,2.8,No,Credit Card,Express,No,No,29,PayPal,Quarterly
23,66,Male,Shirt,Clothing,85,S,Cyan,Summer,4.4,No,Cash,Standard,No,No,4,Cash,Annually
24,62,Male,Socks,Clothing,50,L,Pink,Fall,4.7,No,Cash,Free Shipping,No,No,40,Bank Transfer,Bi-Weekly
25,58,Male,Pants,Clothing,47,XL,Magenta,Winter,3.8,No,Credit Card,Express,No,No,31,Cash,Monthly
26,23,Male,Boots,Footwear,75,M,Pink,Winter,4.9,No,Bank Transfer,Next Day Air,No,No,41,Credit Card,Weekly
27,45,Male,T-shirt,Clothing,60,M,Turquoise,Winter,4.2,No,PayPal,Express,No,No,44,Debit Card,Annually
28,20,Male,T-shirt,Clothing,36,S,Pink,Spring,4.9,No,Cash,2-Day Shipping,No,No,31,Bank Transfer,Weekly
29,33,Male,Coat,Outerwear,80,L,Gray,Spring,3.9,No,Debit Card,Express,No,No,45,Cash,Every 3 Months
30,30,Male,Hat,Accessories,96,M,White,Spring,4.9,No,Venmo,2-Day Shipping,No,No,50,Credit Card,Quarterly
31,50,Male,Sunglasses,Accessories,80,M,Blue,Winter,4.8,No,Credit Card,Express,No,No,7,Venmo,Annually
32,62,Male,Blouse,Clothing,71,M,Cyan,Summer,3.3,No,Bank Transfer,Free Shipping,No,No,5,Bank Transfer,Every 3 Months
33,69,Male,Jewelry,Accessories,29,M,Blue,Fall,4.6,No,Debit Card,Free Shipping,No,No,48,Cash,Monthly
34,34,Male,Jewelry,Accessories,53,M,Yellow,Spring,4.5,No,Bank Transfer,2-Day Shipping,No,No,19,PayPal,Fortnightly
35,49,Male,Skirt,Clothing,35,M,Charcoal,Summer,4.1,No,Venmo,2-Day Shipping,No,No,39,Venmo,Fortnightly
36,65,Male,Scarf,Accessories,75,M,Lavender,Fall,3.2,No,Cash,2-Day Shipping,No,No,45,Credit Card,Quarterly
37,66,Male,Pants,Clothing,52,M,Teal,Fall,4.2,No,Cash,2-Day Shipping,No,No,35,Credit Card,Monthly
38,41,Male,Hat,Accessories,77,M,Beige,Winter,4.8,No,PayPal,Free Shipping,No,No,8,Venmo,Monthly
39,37,Male,Gloves,Accessories,24,L,Blue,Fall,4.1,No,Credit Card,Next Day Air,No,No,11,Credit Card,Quarterly
40,32,Male,Shirt,Clothing,78,XL,Purple,Winter,3.7,No,Venmo,Store Pickup,No,No,32,Cash,Annually
41,42,Male,Sandals,Footwear,98,M,Gold,Winter,2.6,No,Cash,Store Pickup,No,No,46,Bank Transfer,Every 3 Months
42,31,Male,Socks,Clothing,57,L,Blue,Winter,3,No,Debit Card,Standard,No,No,7,PayPal,Every 3 Months
43,61,Male,Handbag,Accessories,78,M,Black,Summer,4.4,No,Bank Transfer,Express,No,No,1,Debit Card,Annually
44,36,Male,Jacket,Outerwear,76,M,Charcoal,Fall,4.7,No,Bank Transfer,Next Day Air,No,No,32,Credit Card,Monthly
45,60,Male,Shorts,Clothing,26,M,Purple,Spring,2.7,No,Venmo,2-Day Shipping,No,No,31,Credit Card,Annually
46,51,Male,Sandals,Footwear,78,M,Orange,Winter,2.8,No,Debit Card,2-Day Shipping,No,No,39,Bank Transfer,Quarterly
47,68,Male,Scarf,Accessories,53,M,Yellow,Summer,2.9,No,Debit Card,Standard,No,No,9,Venmo,Quarterly
48,46,Male,Sandals,Footwear,100,XL,Cyan,Summer,4.4,No,Debit Card,Free Shipping,No,No,49,Credit Card,Weekly
49,19,Male,Jeans,Clothing,73,XL,Yellow,Winter,2.7,No,Credit Card,Express,No,No,34,Cash,Every 3 Months
50,30,Male,Skirt,Clothing,40,M,Maroon,Winter,4.5,No,Credit Card,Store Pickup,No,No,35,Bank Transfer,Monthly
51,51,Male,Gloves,Accessories,76,S,Black,Winter,2.8,No,Credit Card,Store Pickup,No,No,50,Debit Card,Weekly
52,28,Male,Skirt,Clothing,80,S,Lavender,Fall,3.1,No,Venmo,Free Shipping,No,No,4,Bank Transfer,Fortnightly
53,41,Male,Sweater,Clothing,80,XL,Violet,Winter,3.8,No,Cash,Store Pickup,No,No,32,Cash,Weekly
54,29,Male,Blouse,Clothing,67,XL,Olive,Spring,2.9,No,Bank Transfer,Express,No,No,11,PayPal,Fortnightly
55,25,Male,Sweater,Clothing,61,M,Teal,Spring,3.8,No,Credit Card,Express,No,No,49,Credit Card,Annually
56,60,Male,Shirt,Clothing,76,XL,Teal,Spring,4.7,No,Bank Transfer,Standard,No,No,9,Cash,Annually
57,63,Male,Jewelry,Accessories,55,XL,Beige,Summer,3.2,No,Venmo,Free Shipping,No,No,30,PayPal,Bi-Weekly
